LOG D'ÉTAT PAR STEP (temps continu)

===== STEP 1 | temps simulé = 0.20 s =====
- team=A, type=Pikeman, HP=55.0, pos=(44.22,40.00), intent=move_to(73.00,40.00)
- team=A, type=Pikeman, HP=55.0, pos=(44.22,42.00), intent=move_to(73.00,42.00)
- team=A, type=Pikeman, HP=55.0, pos=(44.22,44.00), intent=move_to(73.00,44.00)
- team=A, type=Pikeman, HP=55.0, pos=(44.22,46.00), intent=move_to(73.00,46.00)
- team=A, type=Pikeman, HP=55.0, pos=(44.22,48.00), intent=move_to(73.00,48.00)
- team=A, type=Pikeman, HP=55.0, pos=(44.22,50.00), intent=move_to(73.00,50.00)
- team=A, type=Pikeman, HP=55.0, pos=(44.22,52.00), intent=move_to(73.00,52.00)
- team=A, type=Pikeman, HP=55.0, pos=(44.22,54.00), intent=move_to(73.00,54.00)
- team=A, type=Pikeman, HP=55.0, pos=(44.22,56.00), intent=move_to(73.00,56.00)
- team=A, type=Pikeman, HP=55.0, pos=(44.22,58.00), intent=move_to(73.00,58.00)
- team=A, type=Pikeman, HP=55.0, pos=(44.22,60.00), intent=move_to(73.00,60.00)
- team=A, type=Pikeman, HP=55.0, pos=(44.22,62.00), intent=move_to(73.00,62.00)
- team=A, type=Pikeman, HP=55.0, pos=(44.22,64.00), intent=move_to(73.00,64.00)
- team=A, type=Pikeman, HP=55.0, pos=(44.22,66.00), intent=move_to(73.00,66.00)
- team=A, type=Pikeman, HP=55.0, pos=(44.22,68.00), intent=move_to(73.00,68.00)
- team=A, type=Pikeman, HP=55.0, pos=(44.22,70.00), intent=move_to(73.00,70.00)
- team=A, type=Pikeman, HP=55.0, pos=(44.22,72.00), intent=move_to(73.00,72.00)
- team=A, type=Pikeman, HP=55.0, pos=(44.22,74.00), intent=move_to(73.00,74.00)
- team=A, type=Pikeman, HP=55.0, pos=(44.22,76.00), intent=move_to(73.00,76.00)
- team=A, type=Pikeman, HP=55.0, pos=(44.22,78.00), intent=move_to(73.00,78.00)
- team=A, type=Pikeman, HP=55.0, pos=(45.22,40.00), intent=move_to(73.00,40.00)
- team=A, type=Pikeman, HP=55.0, pos=(45.22,42.00), intent=move_to(73.00,42.00)
- team=A, type=Pikeman, HP=55.0, pos=(45.22,44.00), intent=move_to(73.00,44.00)
- team=A, type=Pikeman, HP=55.0, pos=(45.22,46.00), intent=move_to(73.00,46.00)
- team=A, type=Pikeman, HP=55.0, pos=(45.22,48.00), intent=move_to(73.00,48.00)
- team=A, type=Pikeman, HP=55.0, pos=(45.22,50.00), intent=move_to(73.00,50.00)
- team=A, type=Pikeman, HP=55.0, pos=(45.22,52.00), intent=move_to(73.00,52.00)
- team=A, type=Pikeman, HP=55.0, pos=(45.22,54.00), intent=move_to(73.00,54.00)
- team=A, type=Pikeman, HP=55.0, pos=(45.22,56.00), intent=move_to(73.00,56.00)
- team=A, type=Pikeman, HP=55.0, pos=(45.22,58.00), intent=move_to(73.00,58.00)
- team=A, type=Pikeman, HP=55.0, pos=(45.22,60.00), intent=move_to(73.00,60.00)
- team=A, type=Pikeman, HP=55.0, pos=(45.22,62.00), intent=move_to(73.00,62.00)
- team=A, type=Pikeman, HP=55.0, pos=(45.22,64.00), intent=move_to(73.00,64.00)
- team=A, type=Pikeman, HP=55.0, pos=(45.22,66.00), intent=move_to(73.00,66.00)
- team=A, type=Pikeman, HP=55.0, pos=(45.22,68.00), intent=move_to(73.00,68.00)
- team=A, type=Pikeman, HP=55.0, pos=(45.22,70.00), intent=move_to(73.00,70.00)
- team=A, type=Pikeman, HP=55.0, pos=(45.22,72.00), intent=move_to(73.00,72.00)
- team=A, type=Pikeman, HP=55.0, pos=(45.22,74.00), intent=move_to(73.00,74.00)
- team=A, type=Pikeman, HP=55.0, pos=(45.22,76.00), intent=move_to(73.00,76.00)
- team=A, type=Pikeman, HP=55.0, pos=(45.22,78.00), intent=move_to(73.00,78.00)
- team=A, type=Pikeman, HP=55.0, pos=(46.22,40.00), intent=move_to(73.00,40.00)
- team=A, type=Pikeman, HP=55.0, pos=(46.22,42.00), intent=move_to(73.00,42.00)
- team=A, type=Pikeman, HP=55.0, pos=(46.22,44.00), intent=move_to(73.00,44.00)
- team=A, type=Pikeman, HP=55.0, pos=(46.22,46.00), intent=move_to(73.00,46.00)
- team=A, type=Pikeman, HP=55.0, pos=(46.22,48.00), intent=move_to(73.00,48.00)
- team=A, type=Pikeman, HP=55.0, pos=(46.22,50.00), intent=move_to(73.00,50.00)
- team=A, type=Pikeman, HP=55.0, pos=(46.22,52.00), intent=move_to(73.00,52.00)
- team=A, type=Pikeman, HP=55.0, pos=(46.22,54.00), intent=move_to(73.00,54.00)
- team=A, type=Pikeman, HP=55.0, pos=(46.22,56.00), intent=move_to(73.00,56.00)
- team=A, type=Pikeman, HP=55.0, pos=(46.22,58.00), intent=move_to(73.00,58.00)
- team=A, type=Pikeman, HP=55.0, pos=(46.22,60.00), intent=move_to(73.00,60.00)
- team=A, type=Pikeman, HP=55.0, pos=(46.22,62.00), intent=move_to(73.00,62.00)
- team=A, type=Pikeman, HP=55.0, pos=(46.22,64.00), intent=move_to(73.00,64.00)
- team=A, type=Pikeman, HP=55.0, pos=(46.22,66.00), intent=move_to(73.00,66.00)
- team=A, type=Pikeman, HP=55.0, pos=(46.22,68.00), intent=move_to(73.00,68.00)
- team=A, type=Pikeman, HP=55.0, pos=(46.22,70.00), intent=move_to(73.00,70.00)
- team=A, type=Pikeman, HP=55.0, pos=(46.22,72.00), intent=move_to(73.00,72.00)
- team=A, type=Pikeman, HP=55.0, pos=(46.22,74.00), intent=move_to(73.00,74.00)
- team=A, type=Pikeman, HP=55.0, pos=(46.22,76.00), intent=move_to(73.00,76.00)
- team=A, type=Pikeman, HP=55.0, pos=(46.22,78.00), intent=move_to(73.00,78.00)
- team=A, type=Knight, HP=100.0, pos=(40.32,50.00), intent=move_to(73.00,50.00)
- team=A, type=Knight, HP=100.0, pos=(40.32,52.00), intent=move_to(73.00,52.00)
- team=A, type=Knight, HP=100.0, pos=(40.32,54.00), intent=move_to(73.00,54.00)
- team=A, type=Knight, HP=100.0, pos=(40.32,56.00), intent=move_to(73.00,56.00)
- team=A, type=Knight, HP=100.0, pos=(40.32,58.00), intent=move_to(73.00,58.00)
- team=A, type=Knight, HP=100.0, pos=(40.32,60.00), intent=move_to(73.00,60.00)
- team=A, type=Knight, HP=100.0, pos=(40.32,62.00), intent=move_to(73.00,62.00)
- team=A, type=Knight, HP=100.0, pos=(40.32,64.00), intent=move_to(73.00,64.00)
- team=A, type=Knight, HP=100.0, pos=(40.32,66.00), intent=move_to(73.00,66.00)
- team=A, type=Knight, HP=100.0, pos=(40.32,68.00), intent=move_to(73.00,68.00)
- team=A, type=Knight, HP=100.0, pos=(42.32,50.00), intent=move_to(73.00,50.00)
- team=A, type=Knight, HP=100.0, pos=(42.32,52.00), intent=move_to(73.00,52.00)
- team=A, type=Knight, HP=100.0, pos=(42.32,54.00), intent=move_to(73.00,54.00)
- team=A, type=Knight, HP=100.0, pos=(42.32,56.00), intent=move_to(73.00,56.00)
- team=A, type=Knight, HP=100.0, pos=(42.32,58.00), intent=move_to(73.00,58.00)
- team=A, type=Knight, HP=100.0, pos=(42.32,60.00), intent=move_to(73.00,60.00)
- team=A, type=Knight, HP=100.0, pos=(42.32,62.00), intent=move_to(73.00,62.00)
- team=A, type=Knight, HP=100.0, pos=(42.32,64.00), intent=move_to(73.00,64.00)
- team=A, type=Knight, HP=100.0, pos=(42.32,66.00), intent=move_to(73.00,66.00)
- team=A, type=Knight, HP=100.0, pos=(42.32,68.00), intent=move_to(73.00,68.00)
- team=A, type=Crossbowman, HP=35.0, pos=(36.19,35.03), intent=move_to(73.00,40.00)
- team=A, type=Crossbowman, HP=35.0, pos=(36.19,37.02), intent=move_to(73.00,40.00)
- team=A, type=Crossbowman, HP=35.0, pos=(36.19,39.01), intent=move_to(73.00,40.00)
- team=A, type=Crossbowman, HP=35.0, pos=(36.19,40.99), intent=move_to(73.00,40.00)
- team=A, type=Crossbowman, HP=35.0, pos=(36.19,42.99), intent=move_to(73.00,42.00)
- team=A, type=Crossbowman, HP=35.0, pos=(36.19,44.99), intent=move_to(73.00,44.00)
- team=A, type=Crossbowman, HP=35.0, pos=(36.19,46.99), intent=move_to(73.00,46.00)
- team=A, type=Crossbowman, HP=35.0, pos=(36.19,48.99), intent=move_to(73.00,48.00)
- team=A, type=Crossbowman, HP=35.0, pos=(36.19,50.99), intent=move_to(73.00,50.00)
